Test 1:
[-0.0387234 0.00540671 -1.6105;
-0.0398863 0.0105415 -1.61968;
-0.0292028 0.00821097 -1.6273;
-0.035648 0.00845103 -1.63107;
-0.0320472 0.00263468 -1.62946;
-0.0387615 0.00926122 -1.61898;
-0.0362212 0.0172561 -1.60919;
-0.0471872 0.0108295 -1.60833;
-0.0412761 0.0119893 -1.61466;
-0.0392577 0.0180037 -1.62224;
-0.0400517 0.0064299 -1.63123;
-0.0335725 0.00499129 -1.63448;
-0.0439036 0.00311292 -1.63392;
-0.0407796 0.008695 -1.62877;
-0.0422868 0.00799439 -1.61926;
-0.0491579 0.00965517 -1.60995;
-0.0425189 0.00777595 -1.60703;
-0.0362077 0.00862728 -1.60949;
-0.0393437 0.00999517 -1.61615;
-0.0354352 0.00939945 -1.62288;
-0.0344168 0.00770589 -1.62869;
-0.0326153 0.0115202 -1.63357;
-0.0331505 0.0120604 -1.63561;
-0.0352357 0.0102562 -1.6346;
-0.0355838 0.0111729 -1.63601;
-0.032876 0.0108388 -1.6353;
-0.0338125 0.00700223 -1.63318;
-0.0338147 0.00791372 -1.6314;
-0.0289487 0.00794605 -1.6298;
-0.0278459 0.010327 -1.62957;
-0.0276784 0.00930559 -1.63174;
-0.0265971 0.00995115 -1.63569;
-0.0264919 0.0108853 -1.63899;
-0.0256565 0.0116932 -1.64404;
-0.023144 0.012922 -1.64713;
-0.0237569 0.00892313 -1.64635;
-0.0281719 0.0131398 -1.64669;
-0.0236103 0.00700089 -1.64653;
-0.0242748 0.0108173 -1.64375;
-0.0192521 0.00824314 -1.63859;
-0.0236124 0.00749006 -1.63417;
-0.0250444 0.00973671 -1.6372;
-0.0181463 0.0101174 -1.64267;
-0.0173762 0.00975811 -1.64862;
-0.0167082 0.0100202 -1.65224;
-0.0199157 0.00609486 -1.65224;
-0.0200913 0.0088885 -1.65247;
-0.0222088 0.00784458 -1.65275;
-0.0239095 0.00733367 -1.65275;
-0.019621 0.00488864 -1.65076;
-0.0230691 0.0107618 -1.64765;
-0.0155804 0.00692902 -1.64139;
-0.0213078 0.0115179 -1.63698;
-0.0217148 0.0149108 -1.63963;
-0.0237752 0.011569 -1.64495;
-0.0195688 0.00968013 -1.65193;
-0.0174918 0.0141163 -1.65813;
-0.0182847 0.0105239 -1.65896;
-0.0213744 0.0138574 -1.65493;
-0.0213706 0.0104196 -1.65506;
-0.0196985 0.00917779 -1.65812;
-0.019643 0.0111173 -1.66057;
-0.0219577 0.00701754 -1.65764;
-0.0208912 0.00730862 -1.64954;
-0.0256195 0.00747443 -1.64365;
-0.0188446 0.00649552 -1.64069;
-0.0238915 0.00948116 -1.64259;
-0.0181571 0.00729486 -1.65079;
-0.0185489 0.00745584 -1.66064;
-0.0183908 0.00771241 -1.66883;
-0.0196335 0.00867852 -1.67449;
-0.0178155 0.0038111 -1.67281;
-0.0224183 0.00122493 -1.6677;
-0.0231358 0.00268911 -1.6623;
-0.0239119 0.00496919 -1.65802;
