Test 1:
[-0.14709975, -0.0784532, 9.7674234;
-0.14709975, -0.0784532, 9.7674234;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.1569064, -0.08825985, 9.77723005;
-0.1569064, -0.08825985, 9.77723005;
-0.1569064, -0.08825985, 9.77723005;
-0.1569064, -0.08825985, 9.77723005;
-0.1569064, -0.08825985, 9.77723005;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
-0.14709975, -0.0784532, 9.7870367;
0.91201845, 0.3334261, 8.6494653;
0.91201845, 0.3334261, 8.6494653;
0.91201845, 0.3334261, 8.6494653;
0.91201845, 0.3334261, 8.6494653;
0.91201845, 0.3334261, 8.6494653;
0.36284605, -0.6080123, 7.1392412;
0.36284605, -0.6080123, 7.1392412;
0.36284605, -0.6080123, 7.1392412;
0.36284605, -0.6080123, 7.1392412;
1.38273765, -0.5491724, 10.7284751;
1.38273765, -0.5491724, 10.7284751;
1.38273765, -0.5491724, 10.7284751;
1.38273765, -0.5491724, 10.7284751;
1.38273765, -0.5491724, 10.7284751;
-1.24544455, -3.46174745, 5.99186315;
-1.24544455, -3.46174745, 5.99186315;
-1.24544455, -3.46174745, 5.99186315;
-1.24544455, -3.46174745, 5.99186315;
-1.24544455, -3.46174745, 5.99186315;
0.53936575, 7.05098135, 11.9052731;
0.53936575, 7.05098135, 11.9052731;
0.53936575, 7.05098135, 11.9052731;
0.53936575, 7.05098135, 11.9052731;
0.53936575, 7.05098135, 11.9052731;
0.9022118, -1.71616375, 9.2770909;
0.9022118, -1.71616375, 9.2770909;
