Test 1: (moving from reading 20-120, stationary otherwise)
[-0.00118413660675, -0.00227031111717, -0.00379742728546;
8.77305865288e-07, 0.00236476492137, -0.00176769867539;
-0.000519204884768, -0.000210588797927, -0.00181358226109;
0.00029488792643, -0.00236169248819, -0.000353017298039;
-0.00207844795659, -0.00252795219421, 0.00192080019042;
7.00331293046e-05, -0.00240435823798, -0.00168590852991;
-0.00110560888425, -0.000830594450235, -1.48731051013e-05;
4.82620671391e-05, -8.83638858795e-05, 0.0031939172186;
0.000894254073501, 0.000649925321341, 0.002836861182;
-0.00094708846882, -0.00225454755127, -0.00155672023539;
-0.00189310498536, 0.00120141077787, -0.00139418884646;
-0.00419009057805, -0.000981543213129, 0.00130034075119;
-0.000894483178854, -0.00129114836454, 0.0005827259738;
-0.00131743447855, -0.00114356167614, -0.00355308293365;
0.00827581062913, -0.0217182859778, -0.00936429854482;
0.0289943553507, 0.0160213913769, -0.011255546473;
-0.00107242632657, -0.0250494927168, -0.0331367999315;
-0.0154877770692, 0.0713068395853, -0.023067895323;
-0.0289065968245, 0.0444435924292, -0.0158638041466;
-0.0265135522932, -0.00556729733944, 0.0429714359343;
-0.0686700642109, -0.0258716605604, 0.0139447394758;
0.0214423723519, 0.022208750248, -0.00130891986191;
-0.0706357359886, 0.0143191730604, -0.0229525379837;
0.0385261364281, -0.0545790232718, 0.0140228271484;
-0.0136877298355, -0.0217937491834, -0.0348220691085;
0.0574770197272, 0.0592894218862, -0.0336861275136;
0.0549043565989, -0.0408961176872, 0.0263212881982;
-0.064686357975, 0.0351098850369, -0.0461047813296;
-0.0367591232061, 0.0159748643637, 0.0342996567488;
-0.0116208810359, -0.100856035948, -0.0252766907215;
0.0089471526444, -0.0175827555358, -0.00500959157944;
0.0856077596545, -0.160563737154, -0.00883397273719;
-0.0902161076665, 0.226571574807, -0.0338243618608;
0.0488564670086, -0.0360087566078, 0.0265762135386;
-0.0514519959688, 0.0228173751384, -0.0728277489543;
0.0264142528176, -0.0605496875942, 0.00318404613063;
-0.112340472639, -0.0910761058331, -0.0473604872823;
-0.0264566000551, 0.0080416733399, -0.00380721222609;
0.0408125370741, -0.0754542425275, 0.0285134445876;
-0.01468375884, -0.0418699532747, 0.00630977889523;
-0.191712886095, -0.0918893292546, -0.0116434181109;
0.0520737245679, -0.105953216553, -0.0310854017735;
0.164239391685, 0.00315209571272, 0.0162264294922;
0.0208954103291, 0.0530476272106, -0.0204575248063;
-0.109299793839, -0.0868434011936, -0.0354827083647;
0.115718044341, -0.23139283061, 0.0111495554447;
-0.135350704193, -0.00180650688708, -0.0307543873787;
0.0504329428077, 0.00837756879628, 0.0604381412268;
-0.0197333283722, 0.100229769945, -0.0629283860326;
0.159871116281, 0.120576366782, -0.0163196511567;
0.140516236424, 0.0532336197793, -0.0423977933824;
0.123147122562, -0.105776831508, -0.0330662429333;
-0.0116571430117, -0.0529273822904, -0.0459805056453;
0.241099819541, 0.103867925704, -0.0802987590432;
0.322410970926, -0.0562485978007, 0.0609988048673;
-0.206327944994, 0.0120439110324, -0.0345887467265;
0.0591753572226, -0.229587316513, 0.0294141508639;
0.0887487307191, -0.174281567335, 0.0109696853906;
-0.291304469109, 0.117946967483, 0.00179575139191;
-0.147289693356, 0.15915709734, -0.0784039497375;
-0.00322756636888, -0.060125425458, -0.0327022187412;
-0.0561999306083, -0.0289540700614, -0.0370370857418;
0.139716565609, -0.17267292738, -0.020269503817;
0.10330260545, -0.0402831733227, 0.00520323542878;
0.0447838827968, 0.00832387339324, -0.0345001965761;
0.165158465505, 0.106575846672, 0.0395346879959;
-0.0344945564866, -0.111393041909, -0.0297843329608;
0.0692477077246, -0.199547618628, -0.0147854946554;
-0.030909774825, -0.0451536402106, 0.00942992791533;
-0.206653088331, 0.00358817074448, -0.010476084426;
0.00320652243681, 0.120497405529, -0.0640143603086;
-0.101144425571, 0.0832851603627, -0.0435894876719;
0.157125100493, 0.0417953059077, 0.0207460820675;
0.251329451799, -0.11477086693, -0.0117192938924;
0.129784837365, -0.0839765369892, 0.00768155697733;
0.109259039164, -0.0277857258916, -0.0738252177835;
-0.19335258007, 0.103420823812, 0.00295613473281;
-0.163255766034, 0.0316232442856, -0.03160572052;
-0.0515922904015, -0.0530920773745, -0.013323629275;
-0.141596034169, -0.0903475433588, -0.0112956846133;
-0.0434584841132, 0.0586010962725, -0.0323241725564;
-0.0081406282261, 0.162237286568, -0.0130585348234;
-0.116625651717, 0.172589540482, -0.0170683264732;
0.192529395223, 0.0344394594431, 0.0244916509837;
-0.0117081273347, -0.0585394203663, 0.00442334683612;
0.070069372654, -0.0758639723063, 0.00682030059397;
-0.144460827112, -0.110246829689, -0.0609265416861;
-0.00432815076783, -0.021322183311, -0.0152439288795;
-0.0842686593533, -0.0155906118453, -0.0823599845171;
-0.0143858958036, 0.305122822523, 0.00445809774101;
0.0899686291814, 0.31451022625, 0.00232994742692;
0.152613908052, -0.0149808768183, 0.119339302182;
0.0100072417408, -0.0316321253777, 0.0108913201839;
0.150710344315, -0.10555434227, 0.097890086472;
0.150378361344, -0.151464268565, -0.0102916005999;
-0.022447898984, 0.126021504402, 0.0165208037943;
0.0423389859498, 0.0804878547788, -0.0804459601641;
0.0622793547809, 0.081891104579, 0.000358895980753;
0.0214515291154, 0.0261832475662, -0.0682037472725;
0.0561575964093, -0.0778956338763, 0.0253827348351;
-0.0504167079926, -0.0575606971979, -0.00331152649596;
0.0132358912379, -0.0802215561271, 0.00524246273562;
-0.0898469761014, 0.0327850729227, -0.0557084642351;
0.0597146935761, -0.044336464256, 0.0313383713365;
-0.0563009120524, 0.072310641408, -0.0502695627511;
0.0102653745562, 0.029622355476, -0.0117060681805;
-0.0237837024033, -0.0360727347434, -0.053382769227;
0.0120591893792, 0.0492685474455, 0.0422358140349;
-0.0256445370615, 0.0330960378051, -0.0169593393803;
-0.00122333364561, -0.0286457724869, -0.00977703556418;
-0.0189334955066, 0.036991097033, -0.0182869862765;
0.011821301654, -0.0227233208716, 0.0052725202404;
-0.0183610394597, 0.0126299522817, -0.0120384804904;
-0.00780637515709, -0.020506337285, -0.00218104571104;
-0.00186724727973, -0.0450534708798, 0.00865564960986;
-0.0189408138394, -0.0198945961893, 0.0183747690171;
0.0189093928784, -0.00772526301444, 0.00493061030284;
0.00714849075302, -0.0130937471986, -0.00540607376024;
0.00998364947736, -0.00866997987032, -0.00713154720142;
-0.0115865021944, 0.000968979671597, -0.000769156613387;
0.00672638975084, -0.00232287682593, -0.00493824621662;
-0.00256556039676, 0.000491560436785, 0.000327421003021;
0.00369163928553, -0.00270642712712, -0.00303898123093;
-0.00246922904626, 0.000848508439958, 0.00013909151312;
0.00388615811244, -7.15106725693e-05, 0.00144019245636;
-0.00307277915999, 0.00281485449523, -0.00251824082807;
0.000754887238145, 0.000779130496085, 0.00456983409822;
-0.00199864106253, -0.000209448859096, -6.41508959234e-05;
-4.13311645389e-05, -0.00276356562972, -0.00194444938097;
-0.00254082167521, -0.001409759745, -0.00354356272146;
-0.00125032104552, 0.00012569501996, -0.000211649457924;
0.000163805205375, -0.00128589943051, -0.000477168010548;
0.00126898242161, -0.00198479369283, -0.00216430891305;
-0.000965022016317, -0.00352449156344, -0.000667312182486;
-0.00216738926247, -0.00172450579703, -0.00141360843554;
0.0012085987255, 0.00257593300194, 0.000423318822868;
-0.00279599335045, 0.00233742780983, 0.00255217053927;
-0.00023072399199, -0.00324191153049, -0.00225191563368;
0.00121632497758, -0.00146868266165, 0.00216159503907;
0.00327286333777, -0.00013598613441, -0.00280250050128;
-0.000164948869497, 0.000233137980103, 0.00072441669181;
0.00283254263923, -0.00131265819073, -0.000328843132593;
0.00326964515261, 0.000599874183536, 0.00172742339782;
0.00314324512146, -0.00264588929713, -0.000414258276578;
0.000872568693012, -0.00151593983173, -0.00387472473085;
0.00263650016859, -0.000988397747278, -0.00232241116464;
0.00221759802662, -0.00124677829444, 0.000175311346538;
-0.00104018207639, -0.00274555571377, 0.00349001539871;
0.0024415999651, -0.00146022439003, -4.8850197345e-06;
0.00109077338129, -0.000987621024251, -0.00101658795029;
0.000381451100111, 0.000642489641905, 0.001639790833;
-0.000673844479024, -0.000251602381468, 0.000156887574121;
0.00225515081547, 0.00123046990484, -0.000706295308191;
0.00309217954054, 0.00100172869861, 0.00184394977987;
-0.000143744517118, 4.99468296766e-05, 0.000123021542095;
0.00194728886709, 0.000952050089836, -0.00131325935945;
0.00351328542456, -0.000233985483646, -3.61894490197e-05;
-0.000219747889787, -0.000179072842002, -0.000636436627246;
0.000786623451859, -0.00141071341932, -0.00275327707641;
0.000663303770125, -0.00156980939209, 0.000897342804819;
0.000190940219909, 0.00020694732666, -0.00121367559768;
0.000601519830525, 1.51433050633e-06, 0.00208409503102;
0.000658710952848, 0.00253651291132, -0.00168461166322;
0.0010818853043, -0.000734312459826, 0.0013944611419;
0.000477303285152, 0.000619355589151, -0.0016459915787;
-0.00255978666246, -0.00139620155096, 0.000210723374039;
-0.00151393841952, -0.00107397697866, -0.00345603586175;
-0.00208233855665, -0.00292867980897, -0.00224386015907;
-0.00489299558103, -0.000813938677311, 0.00209351093508;
-8.29892233014e-05, -0.00129697471857, -0.00237327022478;
-0.00333274621516, 0.000425415113568, -0.000290444819257;
0.00149020785466, -0.00186442025006, -0.00239509530365;
0.000686664134264, 0.00014265999198, 0.00136618525721;
0.00100168958306, -0.000178871676326, -0.00144978472963;
0.00248182704672, -0.000167837366462, -0.00160231464542;
-0.000420999247581, -0.00105982273817, -0.000741034280509;
-0.000213666819036, -0.00223540142179, 0.00144300283864;
0.00362515985034, 0.00123211368918, -0.00147360330448;
0.000109292566776, -0.000900994986296, 0.000108253094368;
-0.000993195455521, 0.00169730558991, 0.000200487673283;
0.00182379735634, -0.0015522968024, -0.0028259488754;
-0.00297911185771, 0.000527648255229, 8.08476470411e-05;
-0.00181405059993, -0.000925917178392, -0.000105984625407;
