Test 1:
[-3.8049802, 1.95152335, 7.28634095;
-3.8049802, 1.95152335, 7.28634095;
-6.81562175, -3.54020065, 7.03136805;
-6.81562175, -3.54020065, 7.03136805;
-6.81562175, -3.54020065, 7.03136805;
-6.81562175, -3.54020065, 7.03136805;
-6.81562175, -3.54020065, 7.03136805;
0.44129925, -2.69682875, 9.48303055;
0.44129925, -2.69682875, 9.48303055;
0.44129925, -2.69682875, 9.48303055;
0.44129925, -2.69682875, 9.48303055;
0.44129925, -2.69682875, 9.48303055;
-3.6873004, 6.8450417, 13.5135637;
-3.6873004, 6.8450417, 13.5135637;
-3.6873004, 6.8450417, 13.5135637;
-3.6873004, 6.8450417, 13.5135637;
-3.6873004, 6.8450417, 13.5135637;
2.9812216, 6.2958693, 9.1790244;
2.9812216, 6.2958693, 9.1790244;
2.9812216, 6.2958693, 9.1790244;
2.9812216, 6.2958693, 9.1790244;
2.9812216, 6.2958693, 9.1790244;
-5.3348176, -9.26728425, 11.32668075;
-5.3348176, -9.26728425, 11.32668075;
-5.3348176, -9.26728425, 11.32668075;
-5.3348176, -9.26728425, 11.32668075;
-5.3348176, -9.26728425, 11.32668075;
-2.6674088, 1.6671305, 9.022118;
-2.6674088, 1.6671305, 9.022118;
-2.6674088, 1.6671305, 9.022118;
-2.6674088, 1.6671305, 9.022118;
-2.6674088, 1.6671305, 9.022118;
-1.95152335, -10.13026945, 3.67749375;
-1.95152335, -10.13026945, 3.67749375;
-1.95152335, -10.13026945, 3.67749375;
-1.95152335, -10.13026945, 3.67749375;
10.11065615, -1.1964113, 9.80665;
10.11065615, -1.1964113, 9.80665;
10.11065615, -1.1964113, 9.80665;
10.11065615, -1.1964113, 9.80665;
10.11065615, -1.1964113, 9.80665;
1.6279039, 8.041453, 11.5522337;
1.6279039, 8.041453, 11.5522337;
1.6279039, 8.041453, 11.5522337;
1.6279039, 8.041453, 11.5522337;
1.6279039, 8.041453, 11.5522337;
5.18771785, -6.30567595, 7.5118939;
5.18771785, -6.30567595, 7.5118939;
5.18771785, -6.30567595, 7.5118939;
5.18771785, -6.30567595, 7.5118939;
5.18771785, -6.30567595, 7.5118939;
-3.30484105, 6.50180895, 13.7881499;
-3.30484105, 6.50180895, 13.7881499;
-3.30484105, 6.50180895, 13.7881499;
-3.30484105, 6.50180895, 13.7881499;
-3.30484105, 6.50180895, 13.7881499;
-0.4707192, 2.52030905, 8.7867584;
-0.4707192, 2.52030905, 8.7867584;
-0.4707192, 2.52030905, 8.7867584;
-0.4707192, 2.52030905, 8.7867584;
1.46119085, 6.65871535, 12.8270982;
1.46119085, 6.65871535, 12.8270982;
1.46119085, 6.65871535, 12.8270982;
1.46119085, 6.65871535, 12.8270982;
1.46119085, 6.65871535, 12.8270982;
0.7256921, -4.2364728, 10.48330885;
0.7256921, -4.2364728, 10.48330885;
0.7256921, -4.2364728, 10.48330885;
0.7256921, -4.2364728, 10.48330885;
0.7256921, -4.2364728, 10.48330885;
7.16866115, 2.85373515, 9.14960445;
7.16866115, 2.85373515, 9.14960445;
7.16866115, 2.85373515, 9.14960445;
7.16866115, 2.85373515, 9.14960445;
7.16866115, 2.85373515, 9.14960445;
-11.05209455, -1.6671305, 5.44269075;
-11.05209455, -1.6671305, 5.44269075;
-11.05209455, -1.6671305, 5.44269075;
-11.05209455, -1.6671305, 5.44269075;
-11.05209455, -1.6671305, 5.44269075;
-8.83579165, -0.71588545, 6.85484835;
-8.83579165, -0.71588545, 6.85484835;
-8.83579165, -0.71588545, 6.85484835;
-8.83579165, -0.71588545, 6.85484835;
-8.83579165, -0.71588545, 6.85484835;
-0.1176798, 1.40235095, 8.3356525;
-0.1176798, 1.40235095, 8.3356525;
-0.1176798, 1.40235095, 8.3356525;
-0.1176798, 1.40235095, 8.3356525;
-3.7461403, 1.3925443, 9.54187045;
-3.7461403, 1.3925443, 9.54187045;
-3.7461403, 1.3925443, 9.54187045;
-3.7461403, 1.3925443, 9.54187045;
-3.7461403, 1.3925443, 9.54187045;
1.55925735, -8.2179727, 9.80665;
1.55925735, -8.2179727, 9.80665;
1.55925735, -8.2179727, 9.80665;
1.55925735, -8.2179727, 9.80665;
1.55925735, -8.2179727, 9.80665;
10.52253545, 8.9828914, 17.3577705;
10.52253545, 8.9828914, 17.3577705;
10.52253545, 8.9828914, 17.3577705;
10.52253545, 8.9828914, 17.3577705;
10.52253545, 8.9828914, 17.3577705;
1.30428445, -1.73577705, 11.75817335]
