Test 1: On point rotation at max omega followed by stop command (q.z, q.w recorded at 10.0 Hz)
[0.0, 1.0;
0.0, 1.0;
0.000650407457898, 0.999999788485;
0.00585344922386, 0.999982868419;
0.0169078089264, 0.999857052782;
0.0338063331258, 0.999428402558;
0.0668850711283, 0.997760686367;
0.116264433263, 0.993218295018;
0.188056660119, 0.98215818104;
0.266212784924, 0.963914287239;
0.347108923729, 0.937824821098;
0.442453995404, 0.896791203096;
0.522130619364, 0.85286553238;
0.627810767555, 0.778366006543;
0.710811763442, 0.703382283649;
0.800187914863, 0.599749365074;
0.879046821738, 0.476735445705;
0.94215604759, 0.335174554509;
0.987894496736, 0.155127248793;
0.9999999998, 1.99962046424e-05;
0.983061352284, -0.183276778796;
0.919980281658, -0.391964642998;
0.833802020567, -0.552063574688;
0.697233813371, -0.716843783186;
0.522593213921, -0.85258215602;
0.291823708279, -0.956472123633;
0.0572383940486, -0.998360539208;
-0.164939999781, -0.986303602585;
-0.410647717564, -0.911794084242;
-0.634400197114, -0.773004779999;
-0.833541477489, -0.552456880947;
-0.944806373435, -0.327629236662;
-0.99981118027, -0.0194320304193;
-0.969990608787, 0.243142383934;
-0.853649509704, 0.520847880463;
-0.659259194544, 0.751915762841;
-0.387675062977, 0.921796097597;
-0.111150010579, 0.993803640136;
0.136451779374, 0.990646713973;
0.395608382784, 0.91841929829;
0.638493384724, 0.769627310887;
0.794637142885, 0.607084682024;
0.927093353618, 0.374830513269;
0.98478759421, 0.173762465137;
0.996793691932, -0.0800145969519;
0.96300092298, -0.269498093386;
0.885867036703, -0.463939212918;
0.775871711819, -0.630890709076;
0.627861097537, -0.778325408939;
0.477803315519, -0.878466841537;
0.337708698475, -0.941250675949;
0.178127443798, -0.984007425666;
0.00933430321067, -0.999956434443;
-0.112191250531, -0.993686632347;
-0.251465539898, -0.96786625225;
-0.351023001205, -0.936366836568;
-0.461613310193, -0.887081254369;
-0.536611471422, -0.84382944292;
-0.609838381208, -0.792525803243;
-0.677031487782, -0.735954050571;
-0.724945854936, -0.68880585611;
-0.762793768035, -0.646641838615;
-0.787791105114, -0.615942509252;
-0.810039841127, -0.586374842389;
-0.822799558836, -0.568331668991;
-0.83084511982, -0.556503716853;
-0.832470335102, -0.554069617625;
-0.831026047547, -0.556233501597;
-0.830845114308, -0.556503725082;
-0.830845114308, -0.556503725082;
-0.830845114308, -0.556503725082]
