Test 1: Straight line with top speed followed by stop command (x, y recorded at 10.0 Hz)
[0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.0, 0.0;
0.00351220231558, -1.14218189382e-06;
0.00936585798407, -1.44675358558e-05;
0.0179510602852, -7.03067996062e-05;
0.0382429445885, -0.0002550828763;
0.0718021734868, -0.000604328711826;
0.114726312346, -0.00109291600625;
0.162723649164, -0.00160802775821;
0.214624341958, -0.00204687180329;
0.277452995431, -0.00174053058818;
0.330916115643, -0.00153198158638;
0.39959673238, -0.00211262374786;
0.476862634554, -0.00274071906252;
0.572468633038, -0.00187070322861;
0.653246406488, -0.00118809982479;
0.749631636559, -0.00219088897094;
0.852651974944, -0.00312868732955;
0.947467908757, -0.00152662359945;
1.07778958769, 0.000759961979828;
1.20110404426, -8.22021226378e-05;
1.32988088022, -0.00108731379339;
1.48360305575, 0.00215762522023;
1.60767809556, 0.0045354074578;
1.75635330549, 0.0029902277817;
1.91322423922, 0.00146191007856;
2.07750894163, -0.000192067611394;
2.26749562644, 0.00468136384085;
2.41924835323, 0.0086723221357;
2.62324736782, 0.0150277518139;
2.78863418547, 0.0200732623;
2.98452711225, 0.0181014301921;
3.18666491891, 0.0161982222134;
3.42104733125, 0.0247144307965;
3.63497120418, 0.0421668502952;
3.82255065881, 0.0491046557699;
4.03444764055, 0.0475230489536;
4.24439572352, 0.0462973830534;
4.45629726388, 0.0455427014537;
4.66468724892, 0.0450038355716;
4.87073593582, 0.044538032171;
5.10548508692, 0.0536858779845;
5.29033878651, 0.0604111834871;
5.49911176119, 0.0585890147126;
5.70866789246, 0.0571007659594;
5.92056830968, 0.0560782521552;
6.15803795741, 0.0655642291811;
6.34168467695, 0.0731968935519;
6.54851369401, 0.0726642749155;
6.75846377758, 0.0718505103837;
6.96841328746, 0.0709001933859;
7.15169151985, 0.0779824893543;
7.38762790538, 0.0867183072167;
7.62550554197, 0.0957565608794;
7.80800838446, 0.102690827624;
8.01600639803, 0.101686759564;
8.25268979966, 0.111299936522;
8.43674306108, 0.118537510827;
8.64708253585, 0.117526323599;
8.85547193642, 0.116795591836;
9.09177137406, 0.126245070142;
9.30063733896, 0.143303667487;
9.48314871588, 0.15000955045;
9.69153553468, 0.148740696375;
9.90343598995, 0.147726099358;
10.1145552626, 0.146577925729;
